epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2351.03,1.67655,1.24569,1.51159,0.51864,0.5773,0.54347,0.23286,1.96804,1.68703,1.61599,0.00098525,0.00098525,0.00098525
43,2414.59,1.68801,1.24421,1.51432,0.6039,0.63405,0.62888,0.27227,1.91992,1.37622,1.59043,0.0009605,0.0009605,0.0009605
44,2477.86,1.66513,1.22086,1.50145,0.53768,0.59674,0.56568,0.23986,1.96681,1.57378,1.62918,0.00093575,0.00093575,0.00093575
45,2531.61,1.67903,1.23697,1.49853,0.61599,0.60662,0.62406,0.26724,1.92796,1.41054,1.5999,0.000911,0.000911,0.000911
46,2579.11,1.66646,1.22887,1.49648,0.56608,0.621,0.59946,0.25824,1.94686,1.44339,1.60088,0.00088625,0.00088625,0.00088625
47,2630.01,1.66442,1.22307,1.4968,0.59336,0.63688,0.63308,0.27284,1.95182,1.39366,1.62795,0.0008615,0.0008615,0.0008615
48,2686.22,1.66921,1.21957,1.49351,0.59301,0.63531,0.62312,0.27259,1.90351,1.41451,1.58546,0.00083675,0.00083675,0.00083675
49,2736.52,1.6516,1.21764,1.48917,0.58079,0.60996,0.60081,0.24901,1.98538,1.45458,1.64865,0.000812,0.000812,0.000812
50,2794.4,1.6508,1.1955,1.48345,0.56171,0.58451,0.56857,0.25087,1.94172,1.49156,1.61498,0.00078725,0.00078725,0.00078725
51,2846.87,1.64731,1.1993,1.48831,0.62349,0.635,0.65394,0.27282,1.97318,1.34477,1.62834,0.0007625,0.0007625,0.0007625
52,2903.04,1.6415,1.18786,1.47506,0.61193,0.63092,0.63469,0.27186,1.95501,1.34154,1.62528,0.00073775,0.00073775,0.00073775
53,2954.28,1.63402,1.18064,1.47136,0.59892,0.60615,0.61424,0.25887,1.9876,1.46832,1.66671,0.000713,0.000713,0.000713
54,3016.78,1.63481,1.19117,1.48045,0.59925,0.61942,0.62142,0.27426,1.92058,1.37656,1.60841,0.00068825,0.00068825,0.00068825
55,3069.75,1.62606,1.17325,1.46817,0.60769,0.62966,0.64097,0.27348,1.93857,1.34306,1.59959,0.0006635,0.0006635,0.0006635
56,3124.26,1.61369,1.16741,1.46846,0.6065,0.60464,0.6331,0.26576,1.98542,1.35515,1.62778,0.00063875,0.00063875,0.00063875
57,3170.36,1.61486,1.1616,1.45825,0.58847,0.61522,0.60758,0.27148,1.93471,1.37828,1.63946,0.000614,0.000614,0.000614
