epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.5091,2.20207,2.28125,1.93264,0.42076,0.42869,0.35027,0.11104,2.46381,1.98056,2.22784,0.000657895,0.000657895,0.000657895
2,185.912,2.01024,1.74094,1.74984,0.42229,0.43665,0.41612,0.15669,2.07225,1.81966,1.7534,0.00130817,0.00130817,0.00130817
3,277.442,1.9887,1.67994,1.72338,0.44813,0.43775,0.39637,0.15784,2.05322,2.04435,1.67704,0.00194195,0.00194195,0.00194195
4,351.58,1.96371,1.65927,1.71191,0.44512,0.50329,0.41297,0.14992,2.19014,1.90177,1.86051,0.00192575,0.00192575,0.00192575
5,449.656,1.91936,1.60693,1.68368,0.52761,0.52556,0.51489,0.20505,2.00595,1.80187,1.69068,0.001901,0.001901,0.001901
6,525.485,1.91912,1.61338,1.68382,0.52148,0.54406,0.51388,0.21314,1.96997,1.8318,1.71573,0.00187625,0.00187625,0.00187625
